dataname;model;n_neighs;points;1-NN;T;C;dimensions;status;restricted;artificial_connected;time
coil20;kpca;5;1440;0.05833;0.9943;0.998;5;None;932;None;3.838274
coil20;kpca;6;1440;0.05833;0.9936;0.9976;5;None;932;None;3.916904
coil20;kpca;7;1440;0.05833;0.993;0.9973;5;None;932;None;4.052908
coil20;kpca;8;1440;0.05833;0.9924;0.997;5;None;932;None;3.777547
coil20;kpca;9;1440;0.05833;0.9915;0.9967;5;None;932;None;3.675279
coil20;kpca;10;1440;0.05833;0.9912;0.9965;5;None;932;None;3.889025
coil20;kpca;11;1440;0.05833;0.9905;0.9963;5;None;932;None;4.086202
coil20;kpca;12;1440;0.05833;0.9898;0.996;5;None;932;None;3.808808
coil20;kpca;13;1440;0.05833;0.9892;0.9959;5;None;932;None;3.978337
coil20;kpca;14;1440;0.05833;0.9886;0.9957;5;None;932;None;4.177966
coil20;kpca;15;1440;0.05833;0.9879;0.9955;5;None;932;None;3.396408
coil20;le;5;1440;0.10347;0.9856;0.9239;5;None;110;None;2.485324
coil20;le;6;1440;0.13056;0.9741;0.9133;5;None;99;None;2.815249
coil20;le;7;1440;0.11181;0.979;0.9148;5;None;90;None;2.630397
coil20;le;8;1440;0.10486;0.9828;0.9063;5;None;83;None;2.593563
coil20;le;9;1440;0.11944;0.9768;0.8891;5;None;77;None;2.537355
coil20;le;10;1440;0.11806;0.9716;0.8883;5;None;73;None;2.700066
coil20;le;11;1440;0.26458;0.8955;0.9861;5;None;69;None;2.675004
coil20;le;12;1440;0.21806;0.8869;0.986;5;None;66;None;2.743816
coil20;le;13;1440;0.21458;0.9026;0.9861;5;None;63;None;2.558344
coil20;le;14;1440;0.17431;0.954;0.9891;5;None;60;None;2.491049
coil20;le;15;1440;0.15486;0.9642;0.9906;5;None;58;None;2.496625
coil20;lle;5;1440;0.10417;0.9769;0.9911;5;None;391;None;5.996099
coil20;lle;6;1440;0.09583;0.9651;0.9914;5;None;392;None;3.825126
coil20;lle;7;1440;0.09722;0.9799;0.9904;5;None;393;None;3.789469
