dataname;model;n_neighs;points;1-NN;T;C
coil20;kpca;"[5, 5, 5]";1440;0.05833;0.9943;0.998
coil20;le;"[5, 5, 15]";1440;0.10347;0.9856;0.9906
coil20;lle;"[14, 7, 6]";1440;0.07431;0.9799;0.9914
coil20;hlle;"[6, 8, 9]";1440;0.05764;0.9778;0.9906
coil20;ltsa;"[6, 6, 9]";1440;0.06736;0.9739;0.9908
coil20;isomap;"[8, 8, 5]";1440;0.05833;0.9909;0.998
coil20;isomap.eng;"[8, 13, 5]";1440;0.07361;0.9826;0.9964
coil20;mvu;"[15, 15, 15]";1440;0.05694;0.9786;0.9973
coil20;tsne;"[5, 9, 6]";1440;0.93333;0.507;0.495
coil20;mvu.based;"[15, 7, 5]";1440;0.04375;0.991;0.998
coil20;mvu.eng;"[15, 15, 15]";1440;0.05;0.979;0.997
coil20;ltsa.skl;"[6, 10, 6]";1440;0.11875;0.951;0.903
coil20;le.skl;"[9, 13, 6]";1440;0.13194;0.962;0.99
coil20;lle.skl;"[8, 7, 5]";1440;0.10764;0.95;0.986
coil20;hlle.skl;"[6, 10, 6]";1440;0.12639;0.946;0.901
coil20;pca;"[5, 5, 5]";1440;0.03889;0.9948;0.9981
orl;kpca;"[5, 5, 5]";400;0.04;0.9937;0.9948
orl;le;"[5, 5, 5]";400;0.1325;0.982;0.9916
orl;lle;"[14, 6, 6]";400;0.09;0.9586;0.973
orl;hlle;"[5, 5, 5]";400;0.2575;0.9073;0.9486
orl;ltsa;"[5, 5, 5]";400;0.2575;0.9073;0.9486
orl;isomap;"[5, 5, 5]";400;0.1125;0.9869;0.9968
orl;isomap.eng;"[5, 5, 5]";400;0.1175;0.9846;0.9966
orl;mvu;"[15, 6, 5]";400;0.1075;0.9754;0.9971
orl;tsne;"[5, 15, 15]";400;0.98;0.508;0.514
orl;mvu.based;"[15, 14, 5]";400;0.0625;0.981;0.997
orl;mvu.eng;"[15, 14, 13]";400;0.0625;0.981;0.997
orl;le.skl;"[5, 12, 5]";400;0.3325;0.917;0.973
orl;lle.skl;"[5, 5, 5]";400;0.245;0.913;0.96
orl;hlle.skl;"[6, 6, 12]";400;0.3575;0.843;0.89
orl;ltsa.skl;"[5, 6, 12]";400;0.26;0.884;0.89
orl;pca;"[5, 5, 5]";400;0.0475;0.9942;0.9952
parallel.swiss;kpca;"[5, 5, 5]";2000;0.1685;0.8941;0.9803
parallel.swiss;le;"[5, 8, 6]";2000;0.3225;0.9369;0.9935
parallel.swiss;lle;"[11, 6, 6]";2000;0.2645;0.9492;0.994
parallel.swiss;hlle;"[6, 6, 5]";2000;0.0805;0.9995;0.958
parallel.swiss;ltsa;"[6, 6, 6]";2000;0.0755;0.9996;0.9559
parallel.swiss;isomap;"[8, 6, 5]";2000;0.0915;0.9976;0.9991
parallel.swiss;isomap.eng;"[7, 6, 6]";2000;0.087;0.9993;0.9995
parallel.swiss;mvu;"[8, 8, 8]";2000;0.131;0.9732;0.9976
parallel.swiss;tsne;"[5, 13, 14]";2000;0.491;0.501;0.502
parallel.swiss;mvu.based;"[6, 6, 6]";2000;0.0975;0.997;0.998
parallel.swiss;mvu.eng;"[5, 5, 5]";2000;0.133;0.985;0.999
parallel.swiss;le.skl;"[13, 13, 13]";2000;0.3175;0.941;0.943
parallel.swiss;lle.skl;"[6, 6, 8]";2000;0.28;0.946;0.991
parallel.swiss;hlle.skl;"[6, 6, 8]";2000;0.1145;0.995;0.992
parallel.swiss;ltsa.skl;"[5, 5, 8]";2000;0.106;0.996;0.948
broken.s_curve;kpca;"[5, 15, 5]";2000;0.5045;0.929;0.9928
broken.s_curve;le;"[11, 14, 11]";2000;0.0505;0.9894;0.9686
broken.s_curve;lle;"[13, 14, 5]";2000;0.0415;0.9953;0.9849
broken.s_curve;hlle;"[14, 14, 14]";2000;0.052;0.9885;0.957
broken.s_curve;ltsa;"[15, 6, 15]";2000;0.092;0.9758;0.8755
broken.s_curve;isomap;"[8, 5, 5]";2000;0.065;0.9918;0.9985
broken.s_curve;isomap.eng;"[6, 6, 6]";2000;0.131;0.9801;0.996
broken.s_curve;tsne;"[5, 10, 5]";2000;0.484;0.501;0.504
broken.s_curve;mvu.based;"[7, 7, 5]";2000;0.0485;0.995;0.998
