M;L;dataname;model;n_neighs;points;1-NN;T;C;status;dimensions;restricted;artificial_connected
;default;coil20;mvu;5;1440;0.23889;0.883;0.99;Inaccurate/Unbounded;2;None;True
;default;coil20;mvu;6;1440;0.18194;0.946;0.994;Inaccurate/Unbounded;3;None;True
;default;coil20;mvu;7;1440;0.2;0.941;0.995;Inaccurate/Unbounded;3;None;True
;default;coil20;mvu;8;1440;0.15139;0.95;0.995;Inaccurate/Unbounded;3;None;True
;default;coil20;mvu;9;1440;0.16458;0.939;0.994;Inaccurate/Unbounded;3;None;True
;default;coil20;mvu;10;1440;0.11597;0.957;0.995;Inaccurate/Unbounded;4;None;True
;default;coil20;mvu;11;1440;0.15625;0.95;0.994;Inaccurate/Unbounded;4;None;True
;default;coil20;mvu;12;1440;0.10486;0.961;0.995;Inaccurate/Unbounded;4;None;True
;default;coil20;mvu;13;1440;0.12917;0.96;0.995;Inaccurate/Unbounded;4;None;True
;default;coil20;mvu;14;1440;0.09236;0.961;0.995;Inaccurate/Unbounded;5;None;True
;default;coil20;mvu;15;1440;0.05278;0.979;0.997;Inaccurate/Unbounded;5;None;True
;default;mit-cbcl;mvu;5;2059;0.38951;0.794;0.986;Inaccurate/Unbounded;1;None;True
;default;mit-cbcl;mvu;6;2059;0.08645;0.951;0.991;Inaccurate/Unbounded;2;None;True
;default;mit-cbcl;mvu;7;2059;0.08111;0.956;0.994;Inaccurate/Unbounded;2;None;True
;default;mit-cbcl;mvu;8;2059;0.06799;0.961;0.995;Inaccurate/Unbounded;2;None;True
;default;mit-cbcl;mvu;9;2059;0.07916;0.961;0.995;Inaccurate/Unbounded;2;None;True
;default;mit-cbcl;mvu;10;2059;0.06119;0.977;0.995;Inaccurate/Unbounded;3;None;True
;default;mit-cbcl;mvu;11;2059;0.04371;0.977;0.996;Inaccurate/Unbounded;3;None;True
;default;mit-cbcl;mvu;12;2059;0.04128;0.975;0.995;Inaccurate/Unbounded;3;None;True
;default;mit-cbcl;mvu;13;2059;0.02817;0.984;0.997;Inaccurate/Unbounded;3;None;True
;default;mit-cbcl;mvu;14;2059;0.02331;0.985;0.997;Inaccurate/Unbounded;3;None;True
;default;mit-cbcl;mvu;15;2059;0.03594;0.983;0.996;Inaccurate/Unbounded;3;None;True
;k2;coil20;mvu;5;1440;0.1875;0.939;0.997;Inaccurate/Unbounded;3;None;True
;k2;coil20;mvu;6;1440;0.16389;0.946;0.997;Inaccurate/Unbounded;3;None;True
;k2;coil20;mvu;7;1440;0.17292;0.939;0.996;Inaccurate/Unbounded;3;None;True
;k2;coil20;mvu;8;1440;0.1625;0.938;0.996;Inaccurate/Unbounded;4;None;True
;k2;coil20;mvu;9;1440;0.14028;0.926;0.994;Inaccurate/Unbounded;3;None;True
;k2;coil20;mvu;10;1440;0.14097;0.933;0.995;Inaccurate/Unbounded;3;None;True
;k2;coil20;mvu;11;1440;0.08819;0.967;0.996;Inaccurate/Unbounded;4;None;True
;k2;coil20;mvu;12;1440;0.10903;0.961;0.995;Inaccurate/Unbounded;4;None;True
;k2;coil20;mvu;13;1440;0.11944;0.962;0.995;Solved;4;None;True
;k2;coil20;mvu;14;1440;0.09583;0.958;0.995;Inaccurate/Unbounded;4;None;True
;k2;coil20;mvu;15;1440;0.04583;0.978;0.997;Inaccurate/Unbounded;5;None;True
;k2;mit-cbcl;mvu;5;2059;0.08791;0.952;0.996;Inaccurate/Unbounded;3;None;True
;k2;mit-cbcl;mvu;6;2059;0.07576;0.956;0.996;Inaccurate/Unbounded;2;None;True
;k2;mit-cbcl;mvu;7;2059;0.0442;0.974;0.997;Inaccurate/Unbounded;3;None;True
;k2;mit-cbcl;mvu;8;2059;0.04614;0.972;0.996;Inaccurate/Unbounded;3;None;True
;k2;mit-cbcl;mvu;9;2059;0.07188;0.944;0.995;Inaccurate/Unbounded;2;None;True
;k2;mit-cbcl;mvu;10;2059;0.06945;0.961;0.995;Inaccurate/Unbounded;3;None;True
;k2;mit-cbcl;mvu;11;2059;0.02186;0.989;0.998;Inaccurate/Unbounded;4;None;True
;k2;mit-cbcl;mvu;12;2059;0.0204;0.988;0.997;Inaccurate/Unbounded;4;None;True
;k2;mit-cbcl;mvu;13;2059;0.02623;0.987;0.997;Inaccurate/Unbounded;4;None;True
;k2;mit-cbcl;mvu;14;2059;0.01797;0.986;0.997;Inaccurate/Unbounded;4;None;True
;k2;mit-cbcl;mvu;15;2059;0.0204;0.988;0.997;Inaccurate/Unbounded;4;None;True
PCA;default;coil20;mvu.based;5;1440;0.09028;0.982;0.998;Solved;11;None;None
PCA;default;coil20;mvu.based;6;1440;0.09722;0.99;0.998;Solved;12;None;None
PCA;default;coil20;mvu.based;7;1440;0.05972;0.991;0.998;Solved;15;None;None
PCA;default;coil20;mvu.based;8;1440;0.07847;0.987;0.998;Solved;14;None;None
PCA;default;coil20;mvu.based;9;1440;0.1125;0.959;0.996;Solved;13;None;None
PCA;default;coil20;mvu.based;10;1440;0.09722;0.97;0.997;Solved;16;None;None
PCA;default;coil20;mvu.based;11;1440;0.11458;0.96;0.996;Solved;14;None;None
PCA;default;coil20;mvu.based;12;1440;0.12361;0.966;0.995;Solved;13;None;None
PCA;default;coil20;mvu.based;13;1440;0.13403;0.966;0.995;Solved;14;None;None
PCA;default;coil20;mvu.based;14;1440;0.09375;0.967;0.996;Solved;12;None;None
PCA;default;coil20;mvu.based;15;1440;0.03958;0.981;0.998;Solved;13;None;None
PCA;default;mit-cbcl;mvu.based;5;2059;0.46479;0.778;0.985;Solved;2;None;None
PCA;default;mit-cbcl;mvu.based;6;2059;0.04954;0.966;0.995;Solved;7;None;None
PCA;default;mit-cbcl;mvu.based;7;2059;0.05488;0.959;0.994;Solved;7;None;None
PCA;default;mit-cbcl;mvu.based;8;2059;0.02525;0.978;0.997;Solved;11;None;None
PCA;default;mit-cbcl;mvu.based;9;2059;0.02428;0.989;0.997;Solved;9;None;None
PCA;default;mit-cbcl;mvu.based;10;2059;0.03011;0.989;0.997;Solved;12;None;None
PCA;default;mit-cbcl;mvu.based;11;2059;0.02331;0.986;0.997;Solved;7;None;None
PCA;default;mit-cbcl;mvu.based;12;2059;0.02331;0.986;0.997;Solved;7;None;None
PCA;default;mit-cbcl;mvu.based;13;2059;0.02525;0.989;0.997;Solved;8;None;None
PCA;default;mit-cbcl;mvu.based;14;2059;0.02137;0.991;0.998;Solved;11;None;None
PCA;default;mit-cbcl;mvu.based;15;2059;0.01943;0.991;0.998;Solved;10;None;None
PCA;k2;coil20;mvu.based;5;1440;0.07292;0.985;0.998;Solved;12;None;True
