time;model;dataset;n_neighbors;One_nn;T;C
3.479011;kpca;coil20;5;0.00139;1.0;1.0
3.506469;kpca;coil20;6;0.00139;1.0;1.0
3.090557;kpca;coil20;7;0.00139;1.0;1.0
2.747031;kpca;coil20;8;0.00139;1.0;1.0
3.361831;kpca;coil20;9;0.00139;1.0;1.0
3.250018;kpca;coil20;10;0.00139;1.0;1.0
3.131584;kpca;coil20;11;0.00139;1.0;1.0
3.240323;kpca;coil20;12;0.00139;1.0;1.0
3.358006;kpca;coil20;13;0.00139;1.0;1.0
2.842366;kpca;coil20;14;0.00139;1.0;1.0
2.946495;kpca;coil20;15;0.00139;1.0;1.0
0.222938;kpca;orl;5;0.0275;1.0;1.0
0.269381;kpca;orl;6;0.0275;1.0;1.0
0.227605;kpca;orl;7;0.0275;1.0;1.0
0.22693;kpca;orl;8;0.0275;1.0;1.0
0.247434;kpca;orl;9;0.0275;1.0;1.0
0.225196;kpca;orl;10;0.0275;1.0;1.0
0.237036;kpca;orl;11;0.0275;1.0;1.0
0.245089;kpca;orl;12;0.0275;1.0;1.0
0.231584;kpca;orl;13;0.0275;1.0;1.0
0.261201;kpca;orl;14;0.0275;1.0;1.0
0.2308;kpca;orl;15;0.0275;1.0;1.0
2.245817;kpca;parallel.swiss;5;0.1685;0.894;0.98
2.046984;kpca;parallel.swiss;6;0.1685;0.891;0.978
2.369013;kpca;parallel.swiss;7;0.1685;0.89;0.976
2.123916;kpca;parallel.swiss;8;0.1685;0.888;0.974
2.160544;kpca;parallel.swiss;9;0.1685;0.886;0.972
2.377972;kpca;parallel.swiss;10;0.1685;0.884;0.971
2.123422;kpca;parallel.swiss;11;0.1685;0.883;0.969
2.399436;kpca;parallel.swiss;12;0.1685;0.882;0.967
2.22205;kpca;parallel.swiss;13;0.1685;0.881;0.966
2.308176;kpca;parallel.swiss;14;0.1685;0.879;0.965
2.393681;kpca;parallel.swiss;15;0.1685;0.879;0.964
2.117532;kpca;broken.s_curve;5;0.5045;0.926;0.993
2.382513;kpca;broken.s_curve;6;0.5045;0.926;0.992
2.196102;kpca;broken.s_curve;7;0.5045;0.927;0.992
2.129187;kpca;broken.s_curve;8;0.5045;0.927;0.991
2.444738;kpca;broken.s_curve;9;0.5045;0.927;0.991
2.174085;kpca;broken.s_curve;10;0.5045;0.928;0.99
2.239883;kpca;broken.s_curve;11;0.5045;0.928;0.99
2.450392;kpca;broken.s_curve;12;0.5045;0.928;0.989
2.137109;kpca;broken.s_curve;13;0.5045;0.928;0.989
2.444432;kpca;broken.s_curve;14;0.5045;0.929;0.989
2.09783;kpca;broken.s_curve;15;0.5045;0.929;0.988
1.944726;kpca;two.swiss;5;0.2675;0.922;0.988
2.370294;kpca;two.swiss;6;0.2675;0.92;0.986
2.151149;kpca;two.swiss;7;0.2675;0.918;0.985
2.217419;kpca;two.swiss;8;0.2675;0.917;0.983
2.378229;kpca;two.swiss;9;0.2675;0.917;0.982
2.166462;kpca;two.swiss;10;0.2675;0.916;0.98
2.357822;kpca;two.swiss;11;0.2675;0.915;0.979
2.07826;kpca;two.swiss;12;0.2675;0.914;0.978
2.201632;kpca;two.swiss;13;0.2675;0.913;0.977
2.388456;kpca;two.swiss;14;0.2675;0.912;0.976
2.210321;kpca;two.swiss;15;0.2675;0.912;0.974
3.310472;kpca;mit-cbcl;5;0.01117;1.0;1.0
3.352384;kpca;mit-cbcl;6;0.01117;1.0;1.0
3.430003;kpca;mit-cbcl;7;0.01117;1.0;1.0
3.555606;kpca;mit-cbcl;8;0.01117;1.0;1.0
3.396388;kpca;mit-cbcl;9;0.01117;1.0;1.0
3.377748;kpca;mit-cbcl;10;0.01117;1.0;1.0
